Check,Title,Level,Benchmark assessment status,Decision,Class,What we implement,Why,How,Not covered
3.1.1,stdio server credentials are sourced from the environment or OS credential store,L1,Automated,NOT_APPLICABLE,StdioCredentialSourcing,"Nothing. Reports NOT_APPLICABLE, with the detected transport recorded as evidence.","A server reached by domain is not on stdio, so the condition cannot arise.",,The whole recommendation.
3.1.2,OIDC/OAuth 2.1 or short-lived API tokens are used for remote servers,L1,Manual,Decidable,RemoteAuthentication,"That an unauthenticated request draws a 401 challenge naming resource_metadata, and that the issued token lifetime is within a 1-hour baseline.","Both halves are visible to any client. A server that answers an unauthenticated request has failed, observably.","One unauthenticated initialize. The lifetime comes from expires_in, or exp minus iat, never from a clock: a token read late in its life would otherwise look shorter than the server issued. Two further legs read the authorization server's advertised metadata.","An opaque token whose response carried no expires_in has no readable lifetime, so that leg records UNKNOWN."
3.2.1,Per-tool authorization policies are enforced,L2,Manual,NOT_APPLICABLE,PerToolAuthorization,"Nothing. Reports NOT_APPLICABLE, with the enumerated tools recorded as evidence.",Deciding it needs a second least-privileged credential and the server's own authorization decision log. Neither is reachable from outside.,,The whole recommendation.
3.2.2,Token passthrough to downstream APIs is forbidden,L1,Manual,Decidable by proxy only,NoTokenPassthrough,That the token's aud claim names only the canonical resource URI of the audited server.,"A remote client cannot read the server's egress log, where forwarding would be observed. A token whose audience names only this server is not valid anywhere downstream, so the audience is the observable proxy.","Reads aud from the JWT body and compares it against the canonical resource URI, tolerating a trailing slash. Any extra audience fails, and the extra values are named.","The egress-log half of the audit, which is where forwarding would actually be observed. A confined audience makes forwarding useless rather than impossible, so this is weaker evidence than the audit asks for. aud also lives only in a JWT body, so an opaque token records UNKNOWN rather than FAIL."
3.2.3,Server-provided tool annotations are not relied upon for authorization or HITL gating,L1,Manual,NOT_APPLICABLE,AnnotationsNotTrusted,"Nothing. Reports NOT_APPLICABLE, with the annotation counts recorded as evidence.","The requirement binds the client that consumes an annotation, not the server that publishes one. Nothing on the wire shows how a consumer gated on it.",,The whole recommendation. The annotation counts are evidence and never move a verdict.
3.3.1,OAuth tokens are audience-bound to the MCP server using Resource Indicators,L1,Automated,Decidable in part,AudienceBinding,"That the audience is readable, that a downstream identity endpoint refuses our token, and that the authorization server refuses to mint a token bound to another resource.","A token replayable at another server is the risk. Two sides are observable: what our token is bound to, and whether the authorization server will bind one elsewhere on request.","Leg a reads the audience. Leg c presents the live token to an identity endpoint on the endpoint's own registrable domain. Leg b asks the authorization server for a token bound to a different resource, and runs last because that grant can rotate the cached refresh token.","Leg c's candidate hosts are derived from the endpoint name, not discovered, so a genuine downstream API hosted elsewhere is never reached. No authorization server has yet minted a wrong-audience token, so leg b's rotation path is untested."
3.3.2,OAuth discovery metadata is served over TLS and validated against the approved authorization server list,L2,Automated,Decidable,DiscoveryChainIntegrity,"That the discovery chain resolves over TLS to a consistent document, and that the document a client selects matches the one the challenge names.","The discovery chain is the root of trust for every other token control in this section. If it is wrong, audience binding and scope minimization rest on nothing.","Fetches every discovery form, then compares the document a conforming client would select against the one the 401 challenge named. That pair is what a real client reads.","Comparing every answering path would fail a server that serves one document per resource, which is what RFC 9728 path insertion is for. The approved-server list is operator-side, so that leg compares against a baseline the probe recorded."
3.3.3,Shared downstream service account identities are prohibited across tools and servers,L2,Manual,NOT_APPLICABLE,SharedServiceIdentities,"Nothing. Reports NOT_APPLICABLE, with what the run reached recorded as evidence.",Which downstream identity a tool uses leaves no signature on the MCP wire.,,The whole recommendation.
3.3.4,OAuth scopes are minimized and elevated progressively,L2,Manual,Decidable except the operator's approved set,ScopeMinimization,"That granted scopes are readable and carry no wildcard, that the advertised scopes_supported carries no wildcard or admin tier, and that a tool outside the grant is refused.",Over-broad scopes set the blast radius of a stolen token. The granted set and the advertised surface are both readable from outside.,"Reads and screens the granted scopes, compares them against a recorded baseline, screens the advertised surface, and calls a tool the operator names as outside the grant. Scope discovery consults three sources, because a server may advertise scopes on the authorization server alone.","The probe has no operator-approved cumulative scope set to compare against, so it reports drift against its own recorded baseline instead. It fails every granted wildcard, where an approved one warrants a human decision. Nothing tests the step-up elevation flow the recommendation describes."
3.3.5,Confused-deputy safeguards are applied for static OAuth client IDs,L2,Manual,Decidable before authentication only,ConfusedDeputySafeguards,"Whether the recommendation applies at all, then that a varied redirect_uri is refused, that a fabricated code carrying an unissued state is refused, and that an unknown client id meets a challenge.",An OAuth proxy fronting a separate authorization server on one static client id is the confused-deputy condition. Whether that condition holds is readable from metadata and two registrations.,"Registers two clients and compares the client id each authorize redirect carries onward. A server that authorizes on its own host is settled from metadata alone, and no client is registered.","No interactive login is performed, so a safeguard that fires only after the user authenticates is unreachable. No target has produced the shared static client id the three test legs sit behind, so they have no live coverage."
